mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	4.0	0	4/4	1	0			dashed		firstMeasure	2
2	2	4	4.0	0	4/4	1	0			dashed			3
3	3	8	4.0	0	4/4	1	0			dashed			4
4	4	12	4.0	0	4/4	1	0						5
5	5	16	4.0	0	4/4	1	0			dashed			6
6	6	20	4.0	0	4/4	1	0			dashed			7
7	7	24	4.0	0	4/4	1	0			dashed			8
8	8	28	4.0	0	4/4	1	0			dashed			9
9	9	32	4.0	0	4/4	1	0				line	end	1, 10
10	10	36	4.0	0	4/4	1	0			dashed			11
11	11	40	4.0	0	4/4	1	0			dashed			12
12	12	44	4.0	0	4/4	1	0			dashed			13
13	13	48	4.0	0	4/4	1	0						14
14	14	52	4.0	0	4/4	1	0			dashed			15
15	15	56	4.0	0	4/4	1	0			dashed			16
16	16	60	4.0	0	4/4	1	0			dashed			17
17	17	64	4.0	0	4/4	1	0			end		lastMeasure	-1
