mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	2	1	1/2		1/2	1		5	47	B2	2	2
1	1	0	0	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	0
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	45	A2	2	3
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	1
2	2	4	4	2.0	0	0	4/4	2	1	1/2		1/2	1		1	43	G2	2	6
2	2	4	4	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	4
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	45	A2	2	7
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	5
3	3	8	8	1.0	0	0	4/4	2	1	1/4		1/4	1		5	47	B2	2	10
3	3	8	8	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	8
3	3	9	9	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		7	49	C#3	3	11
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1	1	2	50	D3	3	12
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		6	66	F#4	4	9
4	4	12	12	2.0	0	0	4/4	2	1	1/2		1/2	1	-1	2	50	D3	3	14
4	4	12	12	4.0	0	0	4/4	1	1	1		1	1		4	64	E4	4	13
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		7	49	C#3	3	15
5	5	16	16	4.0	0	0	4/4	2	1	1		1	1		2	50	D3	3	17
5	5	16	16	4.0	0	0	4/4	1	1	1		1	1		2	62	D4	4	16
6	6	20	20	2.0	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	20
6	6	20	20	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	18
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		0	48	C3	3	21
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	19
7	7	24	24	2.0	0	0	4/4	2	1	1/2		1/2	1		5	47	B2	2	24
7	7	24	24	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	22
7	7	26	26	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	45	A2	2	25
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	23
8	8	28	28	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	28
8	8	28	28	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	26
8	8	30	30	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	38	D2	2	29
8	8	30	30	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	27
9	9	32	32	4.0	0	0	4/4	2	1	1		1	1		1	43	G2	2	31
9	9	32	32	4.0	0	0	4/4	1	1	1		1	1		1	67	G4	4	30
10	10	36	36	4.0	0	0	4/4	2	1	1		1	1		1	55	G3	3	34
10	10	36	36	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	32
10	10	38	38	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	33
11	11	40	40	2.0	0	0	4/4	2	1	1/2		1/2	1		6	54	F#3	3	37
11	11	40	40	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	35
11	11	42	42	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		4	52	E3	3	38
11	11	42	42	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	36
11	11	43	43	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		6	54	F#3	3	39
12	12	44	44	2.0	0	0	4/4	2	1	1/2		1/2	1		1	55	G3	3	42
12	12	44	44	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	40
12	12	46	46	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		0	48	C3	3	43
12	12	46	46	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	41
12	12	47	47	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		3	45	A2	2	44
13	13	48	48	4.0	0	0	4/4	2	1	1		1	1		4	52	E3	3	46
13	13	48	48	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	45
14	14	52	52	2.0	0	0	4/4	2	1	1/2		1/2	1		6	54	F#3	3	49
14	14	52	52	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	47
14	14	54	54	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		-1	53	F3	3	50
14	14	54	54	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	48
15	15	56	56	2.0	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	53
15	15	56	56	2.0	0	0	4/4	1	1	1/2		1/2	1		4	76	E5	5	51
15	15	58	58	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		5	47	B2	2	54
15	15	58	58	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	52
16	16	60	60	2.0	0	0	4/4	2	1	1/2		1/2	1		0	48	C3	3	57
16	16	60	60	2.0	0	0	4/4	1	1	1/2		1/2	1		0	72	C5	5	55
16	16	62	62	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		1	43	G2	2	58
16	16	62	62	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	56
17	17	64	64	4.0	0	0	4/4	2	1	1		1	1		2	50	D3	3	60
17	17	64	64	4.0	0	0	4/4	1	1	1		1	1		3	69	A4	4	59
18	18	68	68	2.0	0	0	4/4	2	1	1/2		1/2	1		1	43	G2	2	64
18	18	68	68	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	61
18	18	70	70	0.0	1/2	1/2	4/4	1	1	0	grace4	1/4	1		0	72	C5	5	62
18	18	70	70	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		3	45	A2	2	65
18	18	70	70	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	63
