mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	50	D3	3	1
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	0
2	2	4	4	2.0	0	0	4/4	2	1	1/2		1/2	1		0	48	C3	3	4
2	2	4	4	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	2
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		-2	46	Bb2	2	5
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	3
3	3	8	8	2.0	0	0	4/4	2	1	1/2		1/2	1		3	45	A2	2	8
3	3	8	8	2.0	0	0	4/4	1	1	1/2		1/2	1		0	72	C5	5	6
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		-2	46	Bb2	2	9
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		-2	70	Bb4	4	7
4	4	12	12	4.0	0	0	4/4	2	1	1		1	1		-1	41	F2	2	11
4	4	12	12	4.0	0	0	4/4	1	1	1		1	1		3	69	A4	4	10
5	5	18	18	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		-1	53	F3	3	13
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	12
6	6	20	20	0.0	0	0	4/4	1	1	0	grace4	1/4	1		-2	70	Bb4	4	14
6	6	20	20	2.0	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	17
6	6	20	20	2.0	0	0	4/4	1	1	1/2		1/2	1		0	72	C5	5	15
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		-1	53	F3	3	18
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		-1	65	F4	4	16
7	7	24	24	2.0	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	21
7	7	24	24	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	19
7	7	26	26	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		-1	53	F3	3	22
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	20
8	8	28	28	2.0	0	0	4/4	2	1	1/2		1/2	1		-2	46	Bb2	2	24
8	8	28	28	4.0	0	0	4/4	1	1	1		1	1		1	67	G4	4	23
8	8	30	30	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		0	48	C3	3	25
9	9	32	32	4.0	0	0	4/4	2	1	1		1	1		-1	41	F2	2	27
9	9	32	32	4.0	0	0	4/4	1	1	1		1	1		-1	65	F4	4	26
10	10	38	38	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		0	48	C3	3	29
10	10	38	38	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		1	67	G4	4	28
10	10	39	39	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		2	50	D3	3	30
11	11	40	40	2.0	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	33
11	11	40	40	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	31
11	11	42	42	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		-3	51	Eb3	3	34
11	11	42	42	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	32
12	12	44	44	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	37
12	12	44	44	2.0	0	0	4/4	1	1	1/2		1/2	1		-2	70	Bb4	4	35
12	12	46	46	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		-3	51	Eb3	3	38
12	12	46	46	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		-2	70	Bb4	4	36
13	13	48	48	4.0	0	0	4/4	2	1	1		1	1		-1	53	F3	3	40
13	13	48	48	4.0	0	0	4/4	1	1	1		1	1		3	69	A4	4	39
14	14	54	54	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		1	55	G3	3	42
