mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	2	1	1/2		1/2	1		5	47	B2	2	2
1	1	0	0	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	0
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1	1	0	48	C3	3	3
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	64	E4	4	1
2	2	4	4	2.0	0	0	4/4	2	1	1/2		1/2	1	-1	0	48	C3	3	6
2	2	4	4	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	4
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	50	D3	3	7
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	5
3	3	8	8	2.0	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	10
3	3	8	8	2.0	0	0	4/4	1	1	1/2		1/2	1		0	72	C5	5	8
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		6	54	F#3	3	11
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	9
4	4	12	12	4.0	0	0	4/4	2	1	1		1	1		1	55	G3	3	13
4	4	12	12	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	12
5	5	16	16	2.0	0	0	4/4	2	1	1/2		1/2	1		0	48	C3	3	17
5	5	16	16	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	14
5	5	18	18	0.0	1/2	1/2	4/4	1	1	0	grace4	1/4	1		5	71	B4	4	15
5	5	18	18	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	45	A2	2	18
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	16
6	6	20	20	2.0	0	0	4/4	2	1	1/2		1/2	1		5	47	B2	2	22
6	6	20	20	2.0	0	0	4/4	1	1	1/2		1/2	1		1	67	G4	4	19
6	6	22	22	0.0	1/2	1/2	4/4	1	1	0	grace4	1/4	1		-1	65	F4	4	20
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		7	49	C#3	3	23
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	64	E4	4	21
7	7	24	24	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	26
7	7	24	24	2.0	0	0	4/4	1	1	1/2		1/2	1		-1	65	F4	4	24
7	7	26	26	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	52	E3	3	27
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	64	E4	4	25
8	8	28	28	2.0	0	0	4/4	2	1	1/2		1/2	1		-1	53	F3	3	29
8	8	28	28	4.0	0	0	4/4	1	1	1		1	1		2	62	D4	4	28
8	8	30	30	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		1	55	G3	3	30
9	9	32	32	4.0	0	0	4/4	2	1	1		1	1		0	48	C3	3	32
9	9	32	32	4.0	0	0	4/4	1	1	1		1	1		0	60	C4	4	31
10	10	36	36	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	35
10	10	36	36	2.0	0	0	4/4	1	1	1/2		1/2	1		4	64	E4	4	33
10	10	38	38	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		0	48	C3	3	36
10	10	38	38	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		6	66	F#4	4	34
11	11	40	40	2.0	0	0	4/4	2	1	1/2		1/2	1		5	47	B2	2	39
11	11	40	40	2.0	0	0	4/4	1	1	1/2		1/2	1		8	68	G#4	4	37
11	11	42	42	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	45	A2	2	40
11	11	42	42	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	38
12	12	44	44	2.0	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	43
12	12	44	44	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	41
12	12	46	46	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	40	E2	2	44
12	12	46	46	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		8	68	G#4	4	42
13	13	48	48	4.0	0	0	4/4	2	1	1		1	1		3	45	A2	2	46
13	13	48	48	4.0	0	0	4/4	1	1	1		1	1		3	69	A4	4	45
14	14	52	52	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	49
14	14	52	52	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	47
14	14	54	54	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	52	E3	3	50
14	14	54	54	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	48
15	15	56	56	2.0	0	0	4/4	2	1	1/2		1/2	1		-1	53	F3	3	53
15	15	56	56	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	51
15	15	58	58	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		4	52	E3	3	54
15	15	58	58	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	76	E5	5	52
15	15	59	59	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		-1	53	F3	3	55
16	16	60	60	2.0	0	0	4/4	2	1	1/2		1/2	1		1	55	G3	3	58
16	16	60	60	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	56
16	16	62	62	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		1	43	G2	2	59
16	16	62	62	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	57
17	17	64	64	4.0	0	0	4/4	2	1	1		1	1		0	48	C3	3	61
17	17	64	64	4.0	0	0	4/4	1	1	1		1	1		0	72	C5	5	60
