mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/4	5			
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	0					0
1	1	3	3	0.0	3/4	3/4	FiguredBass	4/4	1	1	0				1/4	6			
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	1					
1	1	0	0	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	6			
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	2					
2	2	4	4	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	6			
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	3					
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	8	5		
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	4					
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	5					
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	6					
3	3	8	8	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	4	2		
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	7					
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	6			
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	8					
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	9					
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	10					
4	4	12	12	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	7			
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	11					
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	6			
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	12					
4	4	12	12	0.0	0	0	FiguredBass	4/4	2	1	0				1	6			
4	4	12	12	4.0	0	0	Chord	4/4	2	1	1	1	1	13					
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1	1	1	14					
5	5	16	16	4.0	0	0	Chord	4/4	2	1	1	1	1	15					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	16					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	17					
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	8			
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	18					
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	7			
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	19					
7	7	28	28	0.0	1	1	FiguredBass	4/4	1	1	0				1/2	7			
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	20					
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	21					1
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	22					
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0				3/4	6			
8	8	28	28	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	23					2
8	8	31	31	0.0	3/4	3/4	FiguredBass	4/4	1	1	0				1/4	6	4		2
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	24					2
8	8	28	28	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	25					
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	26					
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	4	3		
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	27					
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	6			
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	28					
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	29					
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	30					
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0				1	6	5		
10	10	36	36	4.0	0	0	Chord	4/4	1	1	1	1	1	31					
10	10	36	36	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	7			
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	32					
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	7			
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	33					
10	10	40	40	0.0	1	1	FiguredBass	4/4	2	1	0				1/2	#3	8		
11	11	40	40	0.0	0	0	FiguredBass	4/4	1	1	0				1	8	h		
