mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	0					
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	1					
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2					
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3					
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	4					
1	1	1	1	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6			
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	5					
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6			
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	6					
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	7					
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	8					
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	9					
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	10					
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	11					
2	2	4	4	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	6	5		
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	12					
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	13					
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	5	4		
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	14					
2	2	7	7	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	3			
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	15					
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	16					
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	17					
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	18					
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	19					
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	20					
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	21					
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	22					
3	3	9	9	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6			
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	23					
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/8	8			
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	24					
3	3	21/2	21/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0				1/8	7			
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	25					
3	3	11	11	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/8	6			
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	26					
3	3	23/2	23/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0				1/8	6			
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	27					
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	28					
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	29					
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	30					
4	4	12	12	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	6	4		
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	31					
4	4	13	13	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/8	8	5	3	
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	32					
4	4	27/2	27/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0				1/8	7			
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	33					
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	34					
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	35					
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	36					
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	37					0
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	38					
5	5	17	17	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6			
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	39					
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	40					
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	41					
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	42					
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	43					
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	44					
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	45					
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	46					
6	6	20	20	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	6	5		
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	47					
6	6	21	21	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	h			
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	48					
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	49					
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	50					
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	51					
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	52					
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	53					
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	54					
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	55					
7	7	25	25	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6			
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	56					
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	5		
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	57					
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	58					
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	59					
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	60					
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	61					
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	62					
