mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	0							
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	#			
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	1							
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	2							
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	3							
2	2	4	4	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	6			
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	4							
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	3	8		
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	5							
2	2	4	4	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	6	5		
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	6							0
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	7							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	8							
3	3	8	8	0.0	0	0	FiguredBass	4/4	1	1	0							1	2__	4		
3	3	8	8	4.0	0	0	Chord	4/4	1	1	1		1	1	9							
3	3	8	8	0.0	0	0	FiguredBass	4/4	2	1	0							1/2	_	_		
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	10							
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	2	1	0							1/2	3			
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	11	363						
3	3	12	12	0.0	1	1	FiguredBass	4/4	2	1	0							1/2	3			
4	4	12	12	0.0	0	0	FiguredBass	4/4	1	1	0							1	h			
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1		1	1	12							
4	4	12	12	4.0	0	0	Chord	4/4	2	1	1		1	1	13							
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	14							
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	4	b		
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	15							
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	16							
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	17							
6	6	20	20	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	6			
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	18							
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	4	2		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	19							
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	20							
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	21							
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0							1	6	4		
7	7	24	24	4.0	0	0	Chord	4/4	1	1	1		1	1	22							
7	7	24	24	0.0	0	0	FiguredBass	4/4	2	1	0							1/2	h7	5		
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	23							
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	24							
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0							1	#			
8	8	28	28	4.0	0	0	Chord	4/4	1	1	1		1	1	25							
8	8	28	28	4.0	0	0	Chord	4/4	2	1	1		1	1	26							
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	3	5		
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	27							
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	6	5		
9	9	34	34	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	28							
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	29							
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	30							
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	31							
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	8			
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	32							
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	7			
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	33							
10	10	40	40	0.0	1	1	FiguredBass	4/4	1	1	0							1/2	7			
10	10	42	42	0.0	3/2	3/2	FiguredBass	4/4	1	1	0							1/2	6			
10	10	36	36	0.0	0	0	FiguredBass	4/4	2	1	0							1/2	5			
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	34							
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	2	1	0							1/2	5			
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	35							
11	11	40	40	0.0	0	0	FiguredBass	4/4	1	1	0							1	h			
11	11	40	40	4.0	0	0	Chord	4/4	1	1	1		1	1	36							
11	11	40	40	4.0	0	0	Chord	4/4	2	1	1		1	1	37							
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	5	3		
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	38							
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	39							
12	12	44	44	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	4	b		
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	40							1
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	41							
12	12	46	46	0.0	1/2	1/2	StaffText	4/4	2	1	0						"<font size=""11.9962""/>/"					
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	42							2
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	43							
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	6			
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	44							
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	45							
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	6			
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	46							3
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	47							
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	48							4
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	49							
14	14	52	52	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	6	5		
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	50							
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	8			
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	51							
14	14	52	52	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	7			
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	52							5
14	14	53	53	0.0	1/4	1/4	FiguredBass	4/4	2	1	0							1/4	7			
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	53							
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	54							
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0							1	8	3		
15	15	56	56	4.0	0	0	Chord	4/4	1	1	1		1	1	55							
15	15	56	56	4.0	0	0	Chord	4/4	2	1	1		1	1	56							
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	57							
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	3	5		
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	58							
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	59							
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	60							
17	17	64	64	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	4h	2		
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	61							
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	6			
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	62							
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	63							
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	64							
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	65							
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	66							
18	18	68	68	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	67							
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	68							
19	19	72	72	0.0	0	0	FiguredBass	4/4	1	1	0							1	5h__	4	8__	
19	19	72	72	4.0	0	0	Chord	4/4	1	1	1		1	1	69							
19	19	72	72	0.0	0	0	FiguredBass	4/4	2	1	0							1		#__		
19	19	72	72	4.0	0	0	Chord	4/4	2	1	1		1	1	70							
19	19	76	76	0.0	1	1	FiguredBass	4/4	2	1	0							1		#__		
19	19	80	80	0.0	2	2	FiguredBass	4/4	2	1	0							1			_	
19	19	84	84	0.0	3	3	FiguredBass	4/4	2	1	0							1			7	
19	19	88	88	0.0	4	4	FiguredBass	4/4	2	1	0							1	_	_		
20	20	76	76	0.0	0	0	FiguredBass	4/4	1	1	0							1	8	#		
20	20	76	76	4.0	0	0	Chord	4/4	1	1	1		1	1	71							
20	20	76	76	4.0	0	0	Chord	4/4	2	1	1		1	1	72							
21	21	80	80	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	5	3		
21	21	80	80	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	73							
21	21	82	82	0.0	1/2	1/2	FiguredBass	4/4	1	1	0								6			
21	21	82	82	0.0	1/2	1/2	FiguredBass	4/4	1	1	0								6			
21	21	82	82	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	6			
21	21	82	82	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	74							
21	21	82	82	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	75							
21	21	80	80	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	76							
21	21	82	82	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	77							
22	22	84	84	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	78							
22	22	86	86	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	7	h5		
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	79							
22	22	84	84	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	80							
22	22	86	86	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	81							
23	23	88	88	0.0	0	0	FiguredBass	4/4	1	1	0							1	5	4		
23	23	88	88	4.0	0	0	Chord	4/4	1	1	1		1	1	82							
23	23	88	88	0.0	0	0	FiguredBass	4/4	2	1	0							1	5	#3	8	
23	23	88	88	4.0	0	0	Chord	4/4	2	1	1		1	1	83							
23	23	92	92	0.0	1	1	FiguredBass	4/4	2	1	0							1	7			
24	24	92	92	0.0	0	0	FiguredBass	4/4	1	1	0							1	8	3		
24	24	92	92	4.0	0	0	Chord	4/4	1	1	1		1	1	84							
24	24	92	92	4.0	0	0	Chord	4/4	2	1	1		1	1	85							
