mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	18					2
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	19					
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1	1	1	20					
5	5	16	16	4.0	0	0	Chord	4/4	2	1	1	1	1	21					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	22					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	23					
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	24					
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	4	h		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	25					
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	26					
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	27					
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	6			
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	28					
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	6			
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	29					
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	30					
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	31					
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	4	3		
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	32					
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	33					
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	34					
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	35					
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0				1	4			
10	10	36	36	4.0	0	0	Chord	4/4	1	1	1	1	1	36					
10	10	36	36	0.0	0	0	FiguredBass	4/4	2	1	0				1	3			
10	10	36	36	4.0	0	0	Chord	4/4	2	1	1	1	1	37					
10	10	40	40	0.0	1	1	FiguredBass	4/4	2	1	0				1	3			
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	6			
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	38					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	39					
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	6	5		
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	40					
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	6			
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	41					
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	42					
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	43					3
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	44					
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	8			
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	45					
13	13	50	50	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	7			
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	46					
13	13	52	52	0.0	1	1	FiguredBass	4/4	1	1	0				1/2	8			
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	7			
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	47					
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	48					
14	14	52	52	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	9			
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	49					
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	8			
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	50					
14	14	52	52	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	7			
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	51					
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	52					
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0				1	8	3		
15	15	56	56	4.0	0	0	Chord	4/4	1	1	1	1	1	53					
15	15	56	56	4.0	0	0	Chord	4/4	2	1	1	1	1	54					
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	55					
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	56					
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	57					
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	58					
18	18	68	68	0.0	0	0	FiguredBass	4/4	1	1	0				1/4	6			
18	18	68	68	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	59					
18	18	69	69	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	60					
18	18	70	70	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	7	3		
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	61					
18	18	68	68	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	62					
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	63					
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	64					
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	8			
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	65					
19	19	72	72	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	7			
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	66					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	67					
20	20	76	76	0.0	0	0	FiguredBass	4/4	1	1	0				1	8	3		
20	20	76	76	4.0	0	0	Chord	4/4	1	1	1	1	1	68					
20	20	76	76	4.0	0	0	Chord	4/4	2	1	1	1	1	69					
