mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0					
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	6			
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	1					
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	2					
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	3					
2	2	4	4	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	4	3		
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	4					
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	5					
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	6					
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	7					
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	8					
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	8			
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	9					
3	3	8	8	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	7			
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	10					
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	7			
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	11					
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1	1	1	12					
4	4	12	12	4.0	0	0	Chord	4/4	2	1	1	1	1	13					
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	14					
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	3	5		
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	15					
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	16					
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	17					
6	6	20	20	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	4h	2		
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	18					
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	6			
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	19					
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	20					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	21					
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	6b			
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	22					
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	23					
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	24					0
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	25					
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	26					
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0				1	5__	4	8__	
8	8	28	28	4.0	0	0	Chord	4/4	1	1	1	1	1	27					
8	8	28	28	0.0	0	0	FiguredBass	4/4	2	1	0				1		3__		
8	8	28	28	4.0	0	0	Chord	4/4	2	1	1	1	1	28					
8	8	32	32	0.0	1	1	FiguredBass	4/4	2	1	0				1		3__		
8	8	36	36	0.0	2	2	FiguredBass	4/4	2	1	0				1	_	_	_	
8	8	40	40	0.0	3	3	FiguredBass	4/4	2	1	0				1	7			
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1	1	1	29					
9	9	32	32	4.0	0	0	Chord	4/4	2	1	1	1	1	30					
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	31					
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	6			
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	32					
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	33					
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	34					
11	11	40	40	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	6			
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	35					
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	6			
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	36					
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	37					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	38					
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	9			
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	39					
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	8			
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	40					
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	41					
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	42					
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0				1	4			
13	13	48	48	4.0	0	0	Chord	4/4	1	1	1	1	1	43					
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0				1	3			
13	13	48	48	4.0	0	0	Chord	4/4	2	1	1	1	1	44					
13	13	52	52	0.0	1	1	FiguredBass	4/4	2	1	0				1	3			
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	45					
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	b7			
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	46					
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	47					
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	48					
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	5			
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	49					
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	6h			
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	50					
15	15	60	60	0.0	1	1	FiguredBass	4/4	1	1	0				1/2	6h			
15	15	62	62	0.0	3/2	3/2	FiguredBass	4/4	1	1	0				1/2	6			
