mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0				
1	0	0	0	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	1				
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	2				
2	1	2	2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	3				
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	4				
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	5				
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	6				
2	1	1	1	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	#		
2	1	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	7				
2	1	2	2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/8	6		
2	1	2	2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	8				
2	1	5/2	5/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0				1/8	6	5	
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	9				
2	1	3	3	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	4	
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	10				
2	1	4	4	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/8	8	5	#
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	11				
2	1	9/2	9/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0				1/8	7	_	_
3	2	5	5	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	12				
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	13				
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	14				
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	15				
3	2	5	5	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	16				
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	17				
3	2	7	7	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	#		
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	18				
3	2	8	8	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6		
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	19				
4	3	9	9	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	20				
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	21				
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	22				
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	23				
4	3	9	9	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	6\		
4	3	9	9	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	24				
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	25				
4	3	11	11	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	?		
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	26				
4	3	12	12	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	?		
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	27				
5	4	13	13	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	28				
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	29				
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	30				
