mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	0					
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	1					
2	2	4	4	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	3	5		
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	2					
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	2	7	4	
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	3					
2	2	4	4	4.0	0	0	Chord	4/4	2	1	1		1	1	4					
3	3	8	8	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	4	2		
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	5					
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6			
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	6					
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	7					
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	8					
4	4	12	12	0.0	0	0	FiguredBass	4/4	1	1	0					1	6			
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1		1	1	9					
4	4	12	12	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	7			
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	10					0
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	7			
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	11					
4	4	16	16	0.0	1	1	FiguredBass	4/4	2	1	0					1/2	8			
5	5	16	16	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	12					
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1		1	1	13					
5	5	16	16	4.0	0	0	Chord	4/4	2	1	1		1	1	14					
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6	5		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	15					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	16					
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	17					
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	h7	5		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	18					
