mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	0				
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	1				
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	2				
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	8		
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	3				
2	2	4	4	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	7		
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	4				
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	7		
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	5				
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	6				
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6__		
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	7				
3	3	8	8	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	_		
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	8				
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	9				0
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	10				
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1		1	1	11				
4	4	12	12	4.0	0	0	Chord	4/4	2	1	1		1	1	12				
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	5		
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	13				
5	5	16	16	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	6		
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	6		
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	14				
6	6	20	20	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6		
6	6	20	20	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	15				
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	16				
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	5__	3__	
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	17				
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	18				
